symbol,strategy,best_sl_points,best_tp_points,is_trades,is_win_rate,is_net_profit,is_profit_factor,oos_trades,oos_win_rate,oos_net_profit,oos_profit_factor,status
GBPUSD,A,210,180,284,61.27,756.0,1.32,111,53.15,-65.4,0.94,FAILED
USDJPY,A,220,230,254,55.51,689.2,1.27,108,54.63,245.4,1.22,PASSED
EURUSD,A,210,380,278,35.25,-164.0,0.96,114,28.07,-558.9,0.69,FAILED
USDJPY,E,100,400,2641,21.54,796.8,1.04,1077,20.52,-262.4,0.97,FAILED
EURUSD,E,250,390,1308,41.97,1980.6,1.1,511,39.53,-51.1,0.99,FAILED
USDJPY,D,240,380,3028,42.24,5576.6,1.13,1302,39.71,326.0,1.02,PASSED
EURUSD,D,230,350,2178,40.45,225.8,1.01,901,38.18,-1132.0,0.91,FAILED
EURUSD,B,230,360,2090,40.53,1157.2,1.04,845,40.0,186.4,1.02,PASSED
USDJPY,B,210,360,3514,33.84,-7416.0,0.85,1496,32.82,-4041.6,0.81,FAILED
GBPUSD,B,220,400,2898,34.2,-3458.2,0.92,993,36.25,63.6,1.0,FAILED
EURUSD,C,210,390,2571,35.51,-205.8,0.99,1048,33.68,-1271.1,0.92,FAILED
GBPUSD,E,150,190,2668,44.94,-135.4,0.99,1001,44.26,-317.2,0.96,FAILED
AUDUSD,A,190,150,272,59.93,308.6,1.14,73,58.9,57.0,1.1,PASSED
USDJPY,C,190,310,5973,41.47,8265.4,1.12,2572,38.92,219.0,1.01,PASSED
USDCAD,A,190,300,266,41.73,292.0,1.1,103,38.83,-38.8,0.97,FAILED
GBPUSD,D,220,400,2862,35.26,-1517.8,0.96,987,31.41,-2926.6,0.81,FAILED
AUDUSD,B,250,330,1865,42.73,-1039.8,0.96,569,42.53,-396.6,0.95,FAILED
AUDUSD,E,240,380,1374,38.5,-685.0,0.97,407,38.57,-201.1,0.97,FAILED
GBPUSD,C,160,290,6387,37.25,2458.2,1.04,2022,36.35,-92.4,1.0,FAILED
NZDUSD,A,140,400,242,28.93,288.8,1.12,84,23.81,-141.2,0.85,FAILED
AUDUSD,D,180,370,2163,32.45,-1200.6,0.96,619,33.44,-25.0,1.0,FAILED
USDCAD,E,240,210,2002,54.85,819.6,1.04,602,53.32,-183.6,0.97,FAILED
USDCAD,B,250,380,2149,38.76,-2035.6,0.94,621,35.59,-1859.0,0.82,FAILED
USDCAD,D,210,360,2524,37.6,144.0,1.0,743,33.78,-1609.2,0.85,FAILED
AUDUSD,C,170,310,3261,37.01,1266.6,1.04,945,36.83,252.9,1.02,PASSED
USDCAD,C,240,180,5203,59.12,3043.8,1.06,1432,58.17,241.6,1.02,PASSED
USDCHF,A,250,180,293,59.04,42.0,1.01,94,50.0,-360.2,0.7,FAILED
NZDUSD,B,210,380,1709,36.22,-22.0,1.0,484,33.26,-882.5,0.87,FAILED
NZDUSD,C,250,230,2744,52.48,-262.4,0.99,709,53.74,346.2,1.04,FAILED
NZDUSD,E,200,320,1541,38.48,-552.8,0.97,457,39.82,134.2,1.02,FAILED
EURJPY,A,230,330,249,45.38,519.4,1.16,96,41.67,-2.5,1.0,FAILED
USDCHF,B,250,370,1582,40.2,-685.6,0.97,523,37.28,-1207.2,0.86,FAILED
NZDUSD,D,250,270,1919,47.58,-1102.6,0.96,528,49.43,194.8,1.03,FAILED
USDCHF,E,230,340,1271,44.45,2548.4,1.15,443,40.18,-217.7,0.97,FAILED
USDCHF,D,210,170,3118,55.39,-686.6,0.98,1046,51.34,-1882.3,0.83,FAILED
USDCHF,C,250,260,2608,49.65,57.2,1.0,855,50.64,440.7,1.04,PASSED
GBPJPY,A,190,170,254,66.14,1170.4,1.69,91,52.75,-28.2,0.97,FAILED
EURJPY,B,250,250,4354,46.21,-9655.2,0.84,1623,45.66,-4080.5,0.82,FAILED
EURJPY,E,170,360,2465,33.47,836.0,1.03,912,32.68,-104.7,0.99,FAILED
EURJPY,D,170,400,3830,31.57,2230.4,1.05,1396,30.73,107.8,1.01,PASSED
XAUUSD,A,100,400,265,40.75,2655.8,2.6,90,46.67,1166.2,3.27,PASSED
GBPJPY,E,200,380,2594,35.39,358.4,1.01,1000,33.6,-997.2,0.93,FAILED
EURJPY,C,220,340,5879,42.59,8861.0,1.12,2182,40.38,502.4,1.02,PASSED
GBPJPY,D,170,360,4997,33.98,3065.6,1.05,1801,30.54,-2307.2,0.9,FAILED
GBPJPY,B,240,350,4914,38.07,-9372.8,0.87,1859,40.45,-983.6,0.96,FAILED
GBPJPY,C,220,270,9677,48.03,11840.6,1.1,3549,46.55,1584.8,1.04,PASSED
